clusters,home_num
2,113
1,118
2,123
1,130
1,131
1,188
1,192
1,194
1,200
1,219
1,222
2,231
1,238
1,241
1,244
1,246
1,247
2,250
2,255
1,260
2,261
1,267
2,268
2,272
2,290
1,299
1,313
1,318
1,319
1,340
1,351
1,352
2,363
1,396
1,404
1,412
1,424
1,438
1,441
1,456
2,460
2,462
1,464
2,474
2,480
1,484
1,514
1,521
2,522
2,525
1,554
1,583
1,595
2,598
2,600
2,601
2,604
2,618
2,621
2,624
1,629
1,640
1,644
1,657
1,666
1,677
1,683
1,706
1,743
2,744
2,745
1,763
2,780
2,801
1,822
1,827
2,842
1,852
1,854
1,859
1,875
2,889
2,890
2,901
1,906
1,909
2,912
1,923
2,925
1,927
2,945
1,947
1,957
1,977
2,980
2,986
1,987
1,992
1,993
1,999
